Date,Open,High,Low,Close,Adjsutment close,Volume
22-05-1981,-0.019578924,-0.019673947,-0.019348779,-0.019551321,-0.019044636,-0.60937615
26-05-1981,-0.019578924,-0.019729207,-0.019376859,-0.019579131,-0.019069762,-0.420420479
27-05-1981,-0.019217712,-0.019342385,-0.018983731,-0.019189798,-0.018717873,-0.195589137
28-05-1981,-0.019217712,-0.019342385,-0.018983731,-0.019189798,-0.018717873,-0.460221279
29-05-1981,-0.019189927,-0.019314705,-0.01895565,-0.019161988,-0.018692688,-0.511404951
01-06-1981,-0.019189927,-0.019314705,-0.01895565,-0.019161988,-0.018692688,-0.539901381
02-06-1981,-0.019523353,-0.019673947,-0.019320698,-0.019523512,-0.019019451,-0.577818119
03-06-1981,-0.019551138,-0.019646317,-0.019320698,-0.019523512,-0.019019451,-0.581272232
04-06-1981,-0.019412211,-0.019535796,-0.019180295,-0.019384464,-0.018893818,-0.52302333
05-06-1981,-0.019495567,-0.019646317,-0.019292617,-0.019495702,-0.018994324,-0.517371145
08-06-1981,-0.019745637,-0.019894989,-0.019545343,-0.019745988,-0.019220581,-0.391845546
09-06-1981,-0.019634495,-0.019756838,-0.01940494,-0.01960694,-0.019094889,-0.30039006
10-06-1981,-0.019551138,-0.019618687,-0.019320698,-0.019523512,-0.019019451,-0.63112136
11-06-1981,-0.019245498,-0.019370015,-0.019011812,-0.019217607,-0.018743,-0.582920786
12-06-1981,-0.019301069,-0.019452906,-0.019096053,-0.019301036,-0.018818379,-0.629080293
15-06-1981,-0.019328854,-0.019480536,-0.019124134,-0.019328845,-0.018843506,-0.215685793
16-06-1981,-0.019467782,-0.019618687,-0.019264537,-0.019467893,-0.018969198,-0.588965483
17-06-1981,-0.019578924,-0.019729207,-0.019376859,-0.019579131,-0.019069762,-0.622878591
18-06-1981,-0.019606709,-0.019729207,-0.01940494,-0.01960694,-0.019094889,-0.638736109
19-06-1981,-0.019801208,-0.019950249,-0.019601504,-0.019801607,-0.019270834,-0.623114099
22-06-1981,-0.020051327,-0.02019897,-0.019854279,-0.020051942,-0.01949709,-0.681520006
23-06-1981,-0.019967971,-0.02006077,-0.019741957,-0.019940704,-0.019396584,-0.666840026
24-06-1981,-0.020079113,-0.0202266,-0.019910441,-0.020107561,-0.019547402,-0.638814611
25-06-1981,-0.019995756,-0.020116079,-0.019770038,-0.019968513,-0.01942171,-0.63449697
26-06-1981,-0.020023542,-0.02017134,-0.019854279,-0.020051942,-0.01949709,-0.636145524
29-06-1981,-0.020245826,-0.020392381,-0.020078924,-0.020274418,-0.01969822,-0.682383534
30-06-1981,-0.020746015,-0.020889774,-0.020556344,-0.020747229,-0.020125548,-0.593675637
01-07-1981,-0.020801586,-0.020945034,-0.020612505,-0.020802848,-0.020175801,-0.122110738
02-07-1981,-0.020829371,-0.020945034,-0.020612505,-0.020802848,-0.020175801,-0.613379781
06-07-1981,-0.020968299,-0.021110815,-0.020809069,-0.020997515,-0.020351805,-0.661580355
07-07-1981,-0.020968299,-0.021055555,-0.020752908,-0.020941896,-0.020301493,-0.664013934
08-07-1981,-0.020746015,-0.020862094,-0.020528264,-0.02071942,-0.020100421,-0.661266344
09-07-1981,-0.021162797,-0.021304226,-0.020977553,-0.021164372,-0.020502623,-0.604273483
10-07-1981,-0.02157963,-0.021718729,-0.021398812,-0.021581564,-0.020879697,-0.526163433
13-07-1981,-0.021496223,-0.021608158,-0.021286439,-0.021470276,-0.020779074,-0.559213012
14-07-1981,-0.021273939,-0.021359487,-0.021061795,-0.0212478,-0.020578003,-0.650197483
15-07-1981,-0.021135012,-0.021248966,-0.020921392,-0.021108753,-0.020452311,-0.681127493
16-07-1981,-0.020996084,-0.021083185,-0.020780989,-0.020969705,-0.02032662,-0.666133503
17-07-1981,-0.020801586,-0.020917404,-0.020584425,-0.020775039,-0.020150675,-0.650040478
20-07-1981,-0.021162797,-0.021304226,-0.020977553,-0.021164372,-0.020502623,-0.63661654
21-07-1981,-0.021190583,-0.021331857,-0.021005634,-0.021192181,-0.020527749,-0.607570591
22-07-1981,-0.021468438,-0.021608158,-0.02131457,-0.021498135,-0.020804259,-0.640070652
23-07-1981,-0.021385081,-0.021497638,-0.021174117,-0.021359038,-0.020678568,-0.598778304
24-07-1981,-0.021218368,-0.021331857,-0.021005634,-0.021192181,-0.020527749,-0.618403945
27-07-1981,-0.020996084,-0.021110815,-0.020780989,-0.020969705,-0.02032662,-0.658754262
28-07-1981,-0.021162797,-0.021304226,-0.020977553,-0.021164372,-0.020502623,-0.639442632
29-07-1981,-0.021246154,-0.021387117,-0.021061795,-0.0212478,-0.020578003,-0.665191473
30-07-1981,-0.021079441,-0.021166076,-0.020865231,-0.021053134,-0.020402058,-0.684817114
31-07-1981,-0.020996084,-0.021110815,-0.020780989,-0.020969705,-0.02032662,-0.681127493
03-08-1981,-0.020996084,-0.021138445,-0.02083715,-0.021025324,-0.020376931,-0.675946324
04-08-1981,-0.020968299,-0.021083185,-0.020752908,-0.020941896,-0.020301493,-0.608512622
05-08-1981,-0.020801586,-0.020917404,-0.020584425,-0.020775039,-0.020150675,-0.658204744
06-08-1981,-0.020912728,-0.021055555,-0.020724828,-0.020914086,-0.020276366,-0.682619042
07-08-1981,-0.020940513,-0.021055555,-0.020724828,-0.020914086,-0.020276366,-0.687250693
10-08-1981,-0.020940513,-0.021083185,-0.020724828,-0.020914086,-0.020276366,-0.719515247
11-08-1981,-0.021051655,-0.021193706,-0.020893311,-0.021080943,-0.020427184,-0.469092069
12-08-1981,-0.021190583,-0.021331857,-0.021005634,-0.021192181,-0.020527749,-0.62743174
13-08-1981,-0.021357296,-0.021497638,-0.021174117,-0.021359038,-0.020678568,-0.623192601
14-08-1981,-0.021412867,-0.021552898,-0.021258359,-0.021442467,-0.020753947,-0.634732478
17-08-1981,-0.02157963,-0.021718729,-0.021426893,-0.021609373,-0.020904824,-0.653259083
18-08-1981,-0.021690772,-0.021829249,-0.021539215,-0.021720611,-0.021005389,-0.659931801
